"Golden Gate","Richmond Bridge","Carquinez Bridge","Benicia Bridge","Decker_IsS","ThreeMile","SR_RioVista","SR_Mouth","SR_SteamboatSl","Georg_SloughN","SR_DCC","SR_BlwSteam","SR_SutterSl","SR_Freeport","UpRiver"
0,96.1666666666667,14.1666666666667,24.6666666666667,14.5833333333333,2.25,4.08333333333333,0.333333333333333,0.75,0,0,0,0,0,0
0,118.833333333333,11.3333333333333,12.8333333333333,2,0,0,0,0,0,0,0,0,0,0
0,78.8333333333333,15.3333333333333,11.8333333333333,4.83333333333333,0,2.03333333333333,0.2,0.333333333333333,0,0.2,1.2,0,1.2,9
0,0,21,18,16,0,0,0,0,0,0,0,0,0,0
0,0,12.5,13.5,6,0,3,0,0,0,0,0,0,0,0
0,14,8,8,2,0,0,0,0,0,0,0,0,0,0
0,0,0,2,22.3333333333333,0,7.33333333333333,0,1.33333333333333,0,0,0,0,0,0
0,0,0,2,28.5,0,38.5,0,0,0,0,0,0,0,0
0,0,10.5,17.5,18.25,0,10.75,0,0.5,0,0.25,0.25,0,1,8
0,1,15,36,3.75,0,2.75,1.08333333333333,2.08333333333333,0,0.833333333333333,2.5,0,2,9
0,0,7.5,20.5,62,1,1,0,0,0,0,0,0,0,0
0,0,11,16,5,0,1,0,0.333333333333333,0,0.333333333333333,0.666666666666667,0,0.666666666666667,5
0,0,25.5,59.5,9,0,0,0,0,0,0,0,0,0,0
0,0,12,23,6,0,1,0.5,0.5,0,0.5,0.5,0.5,1.5,4
0,0,14,11,3.5,0,1,0,0.5,1.25,0.25,1.25,0,1,4.25
0,0,7.5,10.5,15.5,0,3.5,0,0,0,0.333333333333333,0.333333333333333,1,0.333333333333333,11
0,0,3,23,65.1666666666667,0,5.16666666666667,0.833333333333333,2.33333333333333,0,1.5,2,0,2,0
0,0,7,65,21,0,0,0,0,0,0,0,0,0,0
0,0,8.5,6.5,4,0,1.5,0.5,0,0.333333333333333,1.83333333333333,2.83333333333333,0,2,19
0,2,11.5,31.5,2.5,0,1,0.5,0,0,1,1,0,0,5
0,0,0,0,24.5,1,9.5,0,0,0,0,0,0,0,0
0,1,54,18,5.33333333333333,0.5,3.83333333333333,0,0.833333333333333,0,0.333333333333333,1.83333333333333,0,2.33333333333333,6
0,0,64,26,18.5,0,0.5,0,0,0,0,0,0,0,0
0,0,0,58,0,0,0,0,0,0,0,0,0,0,0
0,0,0,43,0,0,0,0,0,0,0,0,0,0,0
0,0,0,156,0,0,0,0,0,0,0,0,0,0,0
0,2.5,1,70.5,2,0,1,0,0,0,0,0,0,0,0
0,0,0,78,0,0,0,0,0,0,0,0,0,0,0
0,51,4,4.5,4.33333333333333,0,2.33333333333333,0.333333333333333,0.5,0,0.5,0.5,1,2,9
1,3,3.5,10.5,19.3333333333333,3,8.83333333333333,1.5,3.33333333333333,0,0,0,0,0,0
0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
0,0,0,97,0,0,0,0,0,0,0,0,0,0,0
0,14.3333333333333,20.1666666666667,20.6666666666667,14.1666666666667,0,9.33333333333333,0,4.33333333333333,0,0,0,0,0,0
0,15.5,11.8333333333333,14.3333333333333,22.6666666666667,0,11.3333333333333,0,1.33333333333333,0,0,0,0,0,0
0,13.6666666666667,10.6666666666667,9.66666666666667,21.9166666666667,0.5,4.25,0.583333333333333,2.75,0,0,0,0,0,0
0,18.1666666666667,15.1666666666667,11.6666666666667,6.5,2,6.5,0,0,0,0,0,0,0,0
0,15.5,9.5,12.5,14,0,5.5,0,0,0,0,0,0,0,0
0,0,93,27,8,0,0,0,0,0,0,0,0,0,0
0,0,28.5,36.5,4.66666666666667,2.83333333333333,1.5,0,1,0,0,0,0,0,0
0,0,8,8,1.33333333333333,1.5,1.83333333333333,1.03333333333333,2.7,0,0.7,1.7,3,2.2,2
0,0,19.5,4.5,1.75,0,1.75,1.25,1,0,0.75,2.5,1,2,0
0,0,0,0,10.9166666666667,1,8.75,2.25,1.75,0,0.333333333333333,0.333333333333333,0.333333333333333,2.33333333333333,5
0,0,0,0,2.75,0,4.25,1.25,2,0,1.58333333333333,1.83333333333333,1.5,5.83333333333333,11
14,41.5,9.5,9,0,0,0,0,0,0,0,0,0,0,0
21.5,14.8333333333333,1.33333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6,0,3.33333333333333,2.16666666666667,1.83333333333333,0,1.83333333333333,1.83333333333333,0,3,21
0,0,0,0,0.833333333333333,0,0.833333333333333,0,0.333333333333333,0,0,0.5,1,2.5,25
0,0,0,0,22.6666666666667,0,8.16666666666667,0.5,12.6666666666667,0,0,0,0,0,0
0,0,0,0,18.8333333333333,1,1.83333333333333,0.833333333333333,3.83333333333333,0,0.333333333333333,0.333333333333333,1,2,2
0,0,6,4,6.83333333333333,2.83333333333333,5,0.916666666666667,5.66666666666667,0,0.25,1.25,1.5,2.75,4
1.5,1.5,8,3,5.25,0,2.25,0.5,0.25,0,0.5,1.75,0,1.5,10
0,0,19,124,8.33333333333333,0,0.666666666666667,0.333333333333333,0.666666666666667,0,0,0,0,0,0
0,0,19,34,23.0833333333333,0.25,10.0833333333333,0,0.583333333333333,0,0,0,0,0,0
0,0,35.5,22.5,9,0,8,0,0,0,0,0,0,0,0
0,0,5,319,0,0,0,0,0,0,0,0,0,0,0
0,0,6,177,3.83333333333333,0,1.33333333333333,0,0.833333333333333,0,0,0,0,0,0
0,0,14.5,142.5,2.5,0,3,0,2.5,0,0,0,0,0,0
0,0,0,194,2.33333333333333,0,4.66666666666667,0.333333333333333,0.666666666666667,0,0,0,0,0,0
